,CO_MUNICIPIO,NO_MUNICIPIO,AFD_INF_12,AFD_FUN_12,AFD_MED_12,ATU_INF,ATU_AF,ATU_EM,HAD_INF,HAD_AI,HAD_EM,MEDIA_INSE,IED_1,IED_2,IED_3,IED_4,IED_56,IRD_0A2,IRD_2A3,IRD_3A4,IRD_4A5,TDI_FUN,TDI_MED,REGIAO
161,3514601.0,Dumont,80.0,69.8,57.3,16.4,21.9,27.5,8.1,5.7,7.2,5.22,11.6,11.5,34.6,26.9,15.4,0.0,12.5,87.5,0.0,3.9,5.0,SP - Capital
162,3514700.0,Echaporã,58.8,79.8,50.9,15.0,20.7,32.0,7.2,5.0,5.1,5.26,18.6,4.2,27.1,39.6,10.5,0.0,50.0,50.0,0.0,3.7,10.0,SP - Capital
163,3514809.0,Eldorado,57.3,67.4,50.5,13.1,17.8,23.0,6.4,5.3,6.8,4.77,41.9,8.1,12.5,29.4,8.1,34.4,43.8,18.8,3.0,9.4,15.0,SP - Capital
164,3514908.0,Elias Fausto,46.3,73.6,52.099999999999994,20.0,22.4,29.6,6.5,4.9,4.6,5.26,24.3,12.6,18.5,34.5,10.100000000000001,7.7,23.1,61.5,7.7,8.2,13.1,SP - Capital
165,3514924.0,Elisiário,100.0,81.5,72.4,13.7,18.9,15.9,6.7,5.0,4.9,5.25,55.6,14.8,0.0,25.9,3.7,0.0,33.3,66.7,0.0,0.9,0.8,SP - Capital
166,3514957.0,Embaúba,87.5,84.0,64.3,19.6,23.4,17.0,9.0,8.0,9.0,5.15,12.0,20.0,0.0,56.0,12.0,0.0,100.0,0.0,0.0,1.3,5.9,SP - Capital
167,3515004.0,Embu das Artes,54.6,79.0,60.9,18.7,28.1,31.1,6.2,5.7,5.6,5.17,6.0,19.4,32.8,33.7,8.1,13.1,43.1,40.8,3.0,3.9,9.8,SP - Capital
168,3515103.0,Embu-Guaçu,88.7,77.3,61.199999999999996,16.2,25.5,28.6,6.8,5.7,6.0,5.23,9.0,26.7,28.9,30.0,5.4,5.0,61.7,31.7,1.6,2.4,5.1,Embu-Guaçu
169,3515129.0,Emilianópolis,75.8,80.1,55.2,15.9,16.6,15.2,9.0,7.9,4.4,5.17,25.0,45.8,0.0,20.8,8.4,0.0,33.3,33.3,33.4,4.9,17.1,SP - Capital
170,3515152.0,Engenheiro Coelho,92.9,79.1,68.7,18.1,21.8,35.0,8.4,4.9,4.8,5.0,17.7,7.3,40.9,26.8,7.3,0.0,25.0,75.0,0.0,10.2,11.1,SP - Capital
171,3515186.0,Espírito Santo do Pinhal,50.0,74.3,62.9,16.1,23.5,29.7,7.3,5.4,6.0,5.51,18.7,17.6,18.3,33.8,11.6,5.1,35.9,46.2,12.8,3.7,8.2,SP - Capital
172,3515194.0,Espírito Santo do Turvo,100.0,78.4,76.3,16.7,20.8,17.8,9.2,7.0,6.5,5.16,44.4,25.0,25.0,5.6,0.0,0.0,25.0,50.0,25.0,3.7,12.5,SP - Capital
173,3515202.0,Estrela d'Oeste,48.1,75.5,62.5,12.7,19.6,18.5,7.4,5.5,6.8,5.42,27.8,12.5,34.7,18.1,6.9,0.0,57.1,42.9,0.0,10.0,8.6,SP - Capital
174,3515301.0,Estrela do Norte,50.0,83.0,71.7,14.7,19.5,15.6,7.6,5.6,4.7,5.27,6.7,3.3,23.3,46.7,20.0,0.0,25.0,50.0,25.0,2.4,4.6,SP - Capital
175,3515350.0,Euclides da Cunha Paulista,65.4,81.7,51.3,17.5,16.6,15.2,6.7,6.1,5.6,5.05,23.1,8.1,16.2,35.4,17.2,0.0,54.5,45.5,0.0,3.6,11.3,SP - Capital
176,3515400.0,Fartura,31.9,65.3,58.5,18.3,23.5,28.4,10.5,5.4,5.4,5.28,32.5,4.8,21.1,35.4,6.199999999999999,0.0,23.1,61.5,15.4,1.3,2.8,SP - Capital
177,3515509.0,Fernandópolis,50.4,78.3,64.6,13.9,23.6,28.7,7.0,6.3,6.9,5.45,15.5,18.7,39.0,22.8,4.0,0.0,38.8,49.0,12.2,4.4,8.9,SP - Capital
178,3515608.0,Fernando Prestes,93.5,76.7,63.9,15.8,20.6,19.9,9.0,8.8,6.4,5.38,18.5,10.5,18.4,39.5,13.1,0.0,42.9,42.9,14.2,2.5,11.6,SP - Capital
